Date,Open,High,Low,Close*,Adj Close**,Volume
08/03/21,0,0,-0.25,0,0,613
08/02/21,0,0,-0.5,0,0,536
07/30/21,2,2,0,0,0,1149
07/29/21,0,0.5,0,0,0,1
07/28/21,0.25,0.75,0,0,0,1557
07/27/21,0,0.25,0,0,0,864
07/26/21,0,0,0,0,0,900
07/23/21,0,0,0,0,0,838
07/22/21,0,0.25,-0.25,0,0,1444
07/21/21,-0.25,0.5,-0.5,0,0,2044
07/20/21,-0.25,0,-0.25,0,0,1944
07/19/21,0,0,-1,0,0,1269
07/16/21,0,0,-0.25,0,0,1073
07/15/21,0,0.25,0,0,0,630
07/14/21,0,0.25,-0.75,0,0,734
07/13/21,0,0.25,-0.25,0,0,1001
07/12/21,0,4,-0.5,0,0,1256
07/09/21,0,0,-0.75,0,0,1029
07/08/21,0,0,-0.25,0,0,906
07/07/21,0,0,0,0,0,1517
07/06/21,0,0.25,0,0,0,610
07/02/21,0,0,0,0,0,490
07/01/21,0,0,-0.25,0,0,758
06/30/21,0,0,0,0,0,402
06/29/21,0,0,0,0,0,-
06/28/21,0,0.25,-0.25,0,0,299
06/25/21,0,0,-0.5,0,0,1604
06/24/21,0,0,-0.25,0,0,1232
06/23/21,0,0,-0.25,0,0,395
06/22/21,0,0,-0.25,0,0,169
06/21/21,0,0,-0.25,0,0,930
06/18/21,0,0,0,0,0,430
06/17/21,0,0,0,0,0,704
06/16/21,0,0,-0.25,0,0,492
06/15/21,-0.5,0,-0.5,0,0,475
06/14/21,0,0.25,0,0,0,896
06/11/21,0,0.5,-0.25,0,0,521
06/10/21,0,0.25,-0.25,0,0,303
06/09/21,0,0,-4,0,0,455
06/08/21,0,0.25,0,0,0,408
06/07/21,0,0.5,0,0,0,357
06/04/21,0,0.25,0,0,0,439
06/03/21,0,0.25,-0.25,0,0,336
06/02/21,0,0.5,-0.25,0,0,845
06/01/21,0,0,0,0,0,522
05/28/21,-0.5,0,-0.5,0,0,-
05/27/21,0,0,-0.25,0,0,96
05/26/21,0,0,0,0,0,698
05/25/21,0,0.25,0,0,0,428
05/24/21,0,0.25,-0.75,0,0,720
05/21/21,-0.25,1,-1,0,0,570
05/20/21,-0.25,0,-0.25,0,0,1726
05/19/21,0,0,-0.25,0,0,1004
05/18/21,0,0,0,0,0,734
05/17/21,0,0.5,0,0,0,1059
05/14/21,0,0.75,0,0,0,538
05/13/21,0,0.25,0,0,0,839
05/12/21,-0.25,0,-0.25,0,0,968
05/11/21,0,0,-0.25,0,0,741
05/10/21,0,0,-0.25,0,0,443
05/07/21,0,0.25,0,0,0,500
05/06/21,0,0,-0.25,0,0,369
05/05/21,0,0.25,0,0,0,389
05/04/21,0,0,0,0,0,894
05/03/21,0,0,0,0,0,-
04/30/21,0,0,0,0,0,-
04/29/21,0,0.25,0,0,0,-
04/28/21,0.25,0.25,0,0,0,2707
04/27/21,0,0.5,0,0,0,857
04/26/21,0,0.75,-0.25,0,0,2775
04/23/21,0,0.25,-0.25,0,0,546
04/22/21,0,0,-0.5,0,0,929
04/21/21,0,0,-0.25,0,0,486
04/20/21,0,0,0,0,0,460
04/19/21,0,0.25,0,0,0,683
04/16/21,0,0,-0.25,0,0,222
04/15/21,0,0,-0.25,0,0,298
04/14/21,0,0.5,0,0,0,149
04/13/21,0,0,0,0,0,339
04/12/21,0.25,0.5,0,0,0,696
04/09/21,0,0,0,0,0,441
04/08/21,0,0,0,0,0,253
04/07/21,0,0,-0.25,0,0,492
04/06/21,0,0.25,-1,0,0,444
04/05/21,0,0,-0.25,0,0,424
04/01/21,-,-,-,-,-,-
03/31/21,0,0,0,0,0,837
03/30/21,0,0.5,0,0,0,-
03/29/21,-0.25,0,-0.5,0,0,666
03/26/21,0,0.5,0,0,0,1428
03/25/21,0,0,0,0,0,1170
03/24/21,0,0.25,0,0,0,407
03/23/21,0,0.5,0,0,0,727
03/21/21,0,0,-0.25,0,0,403
03/19/21,0,0.5,0,0,0,372
03/18/21,0,0.25,0,0,0,637
03/17/21,0,0,-0.25,0,0,1001
03/16/21,0,0,-0.25,0,0,308
03/15/21,0,0.25,-0.5,0,0,474
03/12/21,0,0.25,0,0,0,485
03/11/21,0,0,-0.5,0,0,443
03/10/21,-0.25,0,-0.5,0,0,452
03/09/21,0,0,-0.25,0,0,453
03/08/21,0,0,0,0,0,461
03/05/21,0,0.5,0,0,0,374
03/04/21,-0.25,0,-0.25,0,0,538
03/03/21,0,0.25,-0.25,0,0,510
03/02/21,0,0.25,-0.25,0,0,363
03/01/21,-,-,-,-,-,-
02/26/21,0,0,0,0,0,486
02/25/21,0,0.25,0,0,0,6
02/24/21,0,0.25,0,0,0,1078
02/23/21,0,0.5,0,0,0,1144
02/22/21,0,0.25,0,0,0,1717
02/19/21,0,0.25,0,0,0,534
02/18/21,0,0.5,0,0,0,888
02/17/21,0,0,0,0,0,230
02/16/21,0.5,0.75,0,0,0,1704
02/12/21,0.25,0.75,0,0,0,799
02/11/21,0,0.25,0,0,0,2249
02/10/21,0,0,0,0,0,2303
02/09/21,-0.25,0,-0.5,0,0,79
02/08/21,0,0,-0.25,0,0,349
02/05/21,0,0.5,0,0,0,289
02/04/21,0,0,0,0,0,297
02/03/21,0,0,-0.25,0,0,225
02/02/21,-0.25,0,-0.5,0,0,261
02/01/21,-,-,-,-,-,-
01/29/21,-1.5,0,-1.5,0,0,383
01/28/21,0,0.25,-0.25,0,0,25
01/27/21,0,0.25,0,0,0,850
01/26/21,0,0.5,-0.25,0,0,840
01/25/21,0,0.25,-0.25,0,0,1407
01/22/21,0,0.25,-0.5,0,0,845
01/21/21,0,0.25,0,0,0,481
01/20/21,0.25,0.25,0,0,0,1321
01/19/21,0,0.75,-0.25,0,0,4213
01/15/21,0,0,0,0,0,808
01/14/21,0.25,0.75,0,0,0,1269
01/13/21,0,0,-0.25,0,0,1758
01/12/21,-0.25,0.25,-0.25,0,0,457
01/11/21,0,0,-0.25,0,0,229
01/08/21,-0.25,0,-0.25,0,0,359
01/07/21,0,0,-0.25,0,0,414
01/06/21,-0.25,0.25,-0.5,0,0,402
01/05/21,0,0.25,-0.25,0,0,391
01/04/21,-0.25,0,-0.5,0,0,843
