Date,Open,High,Low,Close*,Adj Close**,Volume
08/12/22,99.29,100.35,96.94,98.15,98.15,20095
08/11/22,97.27,100.16,96.65,99.6,99.6,20958
08/10/22,96.46,97.98,93.61,97.4,97.4,29520
08/09/22,96.54,98.39,94.91,96.31,96.31,20553
08/08/22,94.27,96.73,92.99,96.65,96.65,17288
08/05/22,93.59,96.4,92.75,94.92,94.92,16576
08/04/22,97.01,97.63,93.15,94.12,94.12,21011
08/03/22,99.64,102.37,96.48,96.78,96.78,22263
08/02/22,100,102.41,98.47,100.54,100.54,17357
08/01/22,103.87,104.37,99.1,100.03,100.03,25670
07/29/22,108.05,110.43,108.03,110.01,110.01,24476
07/28/22,107.49,108.98,105.96,107.14,107.14,6831
07/27/22,104.78,107.8,103.72,106.62,106.62,11024
07/26/22,104.81,107.35,103.98,104.4,104.4,20242
07/25/22,103.44,105.35,101.67,105.15,105.15,14999
07/22/22,104.25,105.68,101.91,103.2,103.2,17586
07/21/22,106.79,106.8,101.52,103.86,103.86,26598
07/20/22,107.15,107.43,105.09,106.92,106.92,23989
07/19/22,105.59,107.6,103.59,107.35,107.35,21900
07/18/22,100.92,106.47,99.48,106.27,106.27,20217
07/15/22,99.6,102.62,98.21,101.16,101.16,19146
07/14/22,99.85,100.37,94.5,99.1,99.1,27515
07/13/22,99.31,101.2,97.3,99.57,99.57,22358
07/12/22,106.23,106.51,98.91,99.49,99.49,22827
07/11/22,106.76,107.66,103.66,107.1,107.1,17691
07/08/22,104.49,107.45,103.75,107.02,107.02,20610
07/07/22,99.96,106.35,98.47,104.65,104.65,22837
07/06/22,104,105.8,98.51,100.69,100.69,28820
07/05/22,111.61,114.69,101.11,102.77,102.77,43356
07/04/22,-,-,-,-,-,-
07/01/22,109.46,112.42,108.01,111.63,111.63,17090
06/30/22,116.04,116.33,114.81,114.81,114.81,24733
06/29/22,117.96,120.38,115.41,116.26,116.26,4346
06/28/22,115.84,118.24,115.4,117.98,117.98,6673
06/27/22,112.46,116.04,111.25,115.09,115.09,11252
06/24/22,109.81,113.99,109.27,113.12,113.12,13431
06/23/22,110.22,112.69,108.11,110.05,110.05,21806
06/22/22,114.57,114.57,107.03,111.74,111.74,33112
06/21/22,113.8,116.25,111.57,114.65,114.65,22868
06/20/22,113.8,114.46,111.57,114.2,114.2,26686
